,GENUS,SPECIES,Match,ID_score
0,Propithecus,Propithecus coquereli,23,1.0
0,Bubalus,Bubalus kerabau,23,0.97
0,Bubalus,Bubalus bubalis,23,0.97
0,Tupaia,Tupaia chinensis,23,0.97
0,Perognathus,Perognathus longimembris pacificus,22,0.97
0,Bos,Bos indicus,23,0.96
0,Bos,Bos javanicus,23,0.95
0,Bison,Bison bison bison,23,0.95
0,Bos,Bos taurus,23,0.95
0,Loxodonta,Loxodonta africana,22,0.95
0,Microtus,Microtus fortis,22,0.93
0,Microtus,Microtus oregoni,22,0.93
0,Elephas,Elephas maximus indicus,22,0.93
0,Arvicola,Arvicola amphibius,22,0.92
0,Bos,Bos mutus,22,0.92
0,Myodes,Myodes glareolus,22,0.91
0,Phodopus,Phodopus roborovskii,22,0.9
0,Castor,Castor canadensis,22,0.89
0,Cricetulus,Cricetulus griseus,22,0.88
