,GENUS,SPECIES,Match,ID_score
0,Bos,Bos indicus,57,0.99
0,Bos,Bos taurus,57,0.96
0,Bison,Bison bison bison,57,0.96
0,Bos,Bos javanicus,57,0.96
0,Bos,Bos mutus,56,0.95
0,Dama,Dama dama,53,0.94
0,Moschus,Moschus berezovskii,54,0.93
0,Bubalus,Bubalus kerabau,53,0.93
0,Bubalus,Bubalus bubalis,53,0.93
0,Cervus,Cervus elaphus,53,0.93
0,Cervus,Cervus canadensis,53,0.93
0,Ovis,Ovis aries,53,0.92
0,Budorcas,Budorcas taxicolor,52,0.92
0,Capra,Capra hircus,52,0.91
0,Oryx,Oryx dammah,52,0.9
0,Ursus,Ursus maritimus,49,0.9
0,Odocoileus,Odocoileus virginianus texanus,51,0.88
0,Felis,Felis catus,49,0.88
0,Ursus,Ursus americanus,49,0.88
