,GENUS,SPECIES,Match,ID_score
0,Orcinus,Orcinus orca,8,0.92
0,Otolemur,Otolemur garnettii,9,0.87
0,Nycticebus,Nycticebus coucang,8,0.85
0,Bubalus,Bubalus bubalis,9,0.83
0,Bos,Bos indicus,9,0.83
0,Bubalus,Bubalus kerabau,9,0.83
0,Bos,Bos mutus,9,0.81
0,Bos,Bos taurus,9,0.81
0,Bos,Bos javanicus,9,0.81
0,Bison,Bison bison bison,9,0.81
0,Acinonyx,Acinonyx jubatus,8,0.81
0,Nomascus,Nomascus leucogenys,8,0.79
0,Psammomys,Psammomys obesus,9,0.75
0,Meriones,Meriones unguiculatus,9,0.74
0,Odobenus,Odobenus rosmarus divergens,8,0.73
0,Nyctereutes,Nyctereutes procyonoides,8,0.73
0,Oryx,Oryx dammah,8,0.73
0,Odocoileus,Odocoileus virginianus texanus,8,0.71
0,Octodon,Octodon degus,8,0.7
