,GENUS,SPECIES,Match,ID_score
0,Perognathus,Perognathus longimembris pacificus,7,0.93
0,Sorex,Sorex fumeus,6,0.83
0,Jaculus,Jaculus jaculus,6,0.81
0,Myotis,Myotis myotis,6,0.8
0,Myotis,Myotis lucifugus,6,0.8
0,Myotis,Myotis daubentonii,6,0.8
0,Hipposideros,Hipposideros armiger,6,0.8
0,Rhinolophus,Rhinolophus ferrumequinum,6,0.8
0,Onychomys,Onychomys torridus,5,0.8
0,Rhinolophus,Rhinolophus sinicus,6,0.79
0,Pipistrellus,Pipistrellus kuhlii,6,0.78
0,Condylura,Condylura cristata,6,0.77
0,Dipodomys,Dipodomys ordii,5,0.77
0,Bos,Bos indicus,5,0.73
0,Bubalus,Bubalus kerabau,5,0.73
0,Bison,Bison bison bison,5,0.72
0,Manis,Manis javanica,5,0.69
0,Psammomys,Psammomys obesus,5,0.67
0,Meriones,Meriones unguiculatus,5,0.67
