,GENUS,SPECIES,Match,ID_score
0,Trichechus,Trichechus manatus latirostris,18,1.0
0,Perognathus,Perognathus longimembris pacificus,18,0.98
0,Orycteropus,Orycteropus afer afer,17,0.96
0,Tupaia,Tupaia chinensis,17,0.91
0,Propithecus,Propithecus coquereli,16,0.91
0,Loxodonta,Loxodonta africana,16,0.9
0,Microtus,Microtus oregoni,16,0.89
0,Gorilla,Gorilla gorilla gorilla,16,0.89
0,Lepus,Lepus europaeus,16,0.89
0,Castor,Castor canadensis,17,0.88
0,Elephas,Elephas maximus indicus,16,0.88
0,Rousettus,Rousettus aegyptiacus,16,0.88
0,Echinops,Echinops telfairi,16,0.87
0,Nannospalax,Nannospalax galili,16,0.86
0,Equus,Equus caballus,15,0.86
0,Equus,Equus asinus,15,0.86
0,Cricetulus,Cricetulus griseus,16,0.85
0,Manis,Manis javanica,16,0.85
0,Manis,Manis pentadactyla,16,0.85
0,Pipistrellus,Pipistrellus kuhlii,15,0.81
