,CLASS,SUBCLASS,INFRACLASS,ORDER,FAMILY,GENUS,SPECIES,Match
0,Mammalia,Theria,Eutheria,Carnivora,Mustelidae,Enhydra,Enhydra lutris,109
0,Mammalia,Theria,Eutheria,Carnivora,Mustelidae,Lutra,Lutra lutra,108
0,Mammalia,Theria,Eutheria,Carnivora,Mustelidae,Meles,Meles meles,107
0,Mammalia,Theria,Eutheria,Carnivora,Ursidae,Ursus,Ursus maritimus,106
0,Mammalia,Theria,Eutheria,Carnivora,Mustelidae,Mustela,Mustela putorius,105
0,Mammalia,Theria,Eutheria,Carnivora,Mustelidae,Lontra,Lontra canadensis,102
0,Mammalia,Theria,Eutheria,Carnivora,Otariidae,Callorhinus,Callorhinus ursinus,101
0,Mammalia,Theria,Eutheria,Carnivora,Odobenidae,Odobenus,Odobenus rosmarus,100
0,Mammalia,Theria,Eutheria,Carnivora,Otariidae,Zalophus,Zalophus californianus,99
0,Mammalia,Theria,Eutheria,Carnivora,Ursidae,Ailuropoda,Ailuropoda melanoleuca,98
0,Mammalia,Theria,Eutheria,Carnivora,Phocidae,Phoca,Phoca vitulina,98
0,Mammalia,Theria,Eutheria,Carnivora,Phocidae,Mirounga,Mirounga angustirostris,97
0,Mammalia,Theria,Eutheria,Carnivora,Phocidae,Mirounga,Mirounga leonina,97
0,Mammalia,Theria,Eutheria,Carnivora,Phocidae,Halichoerus,Halichoerus grypus,97
0,Mammalia,Theria,Eutheria,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,96
0,Mammalia,Theria,Eutheria,Perissodactyla,Equidae,Equus,Equus caballus,95
0,Mammalia,Theria,Eutheria,Perissodactyla,Equidae,Equus,Equus asinus,95
0,Mammalia,Theria,Eutheria,Artiodactyla,Bovidae,Bos,Bos taurus,94
0,Mammalia,Theria,Eutheria,Carnivora,Felidae,Felis,Felis catus,94
0,Mammalia,Theria,Eutheria,Artiodactyla,Camelidae,Vicugna,Vicugna pacos,94
0,Mammalia,Theria,Eutheria,Rodentia,Sciuridae,Urocitellus,Urocitellus parryii,93
0,Mammalia,Theria,Eutheria,Carnivora,Canidae,Vulpes,Vulpes vulpes,93
