,GENUS,SPECIES,Match,ID_score
0,Odocoileus,Odocoileus virginianus texanus,134,0.99
0,Capra,Capra hircus,134,0.99
0,Moschus,Moschus berezovskii,134,0.99
0,Dama,Dama dama,132,0.99
0,Cervus,Cervus canadensis,132,0.98
0,Oryx,Oryx dammah,132,0.98
0,Cervus,Cervus elaphus,132,0.98
0,Budorcas,Budorcas taxicolor,131,0.98
0,Neophocaena,Neophocaena asiaeorientalis,130,0.98
0,Ovis,Ovis aries,131,0.97
0,Bos,Bos taurus,127,0.96
0,Bos,Bos javanicus,127,0.96
0,Bos,Bos indicus,127,0.96
0,Vicugna,Vicugna pacos,127,0.96
0,Phocoena,Phocoena sinus,127,0.96
0,Bison,Bison bison bison,127,0.96
0,Bos,Bos mutus,126,0.95
0,Hippopotamus,Hippopotamus amphibius kiboko,126,0.95
0,Bubalus,Bubalus kerabau,125,0.95
